STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TMAX,TMIN,AWND
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120213,0,0,41,17,13.87
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120214,0,0,44,28,5.82
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120215,0,0,43,34,2.24
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120216,0.04,0,45,35,6.26
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120217,0.01,0,53,38,10.51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120218,0,0,47,34,13.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120219,0,0,46,31,8.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120220,0,0,41,28,11.41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120221,0,0,44,28,9.17
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120222,0,0,57,36,9.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120223,0.05,0,55,41,12.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120224,0.54,0,42,36,7.61
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120225,0,0,45,33,22.82
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120226,0,0,41,27,15.43
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120227,0,0,52,26,10.96
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120228,0,0,48,34,12.75
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120229,0.29,0.9,36,31,8.72
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120301,0.58,0.4,37,25,22.37
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120302,0,0,35,23,8.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120303,0.38,0.1,47,34,9.62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120304,0,0,42,34,8.05
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120305,0,0,38,25,14.09
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120306,0,0,39,20,11.63
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120307,0,0,62,32,16.33
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120308,0,0,68,50,24.16
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120309,0,0,61,35,10.96
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120310,0,0.1,40,31,11.41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120311,0,0,58,30,14.32
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120312,0,0,71,42,6.93
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120313,0.07,0,71,49,9.62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120314,0,0,57,40,10.51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120315,0,0,42,37,8.72
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120316,0.07,0,46,37,5.37
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120317,0,0,49,40,4.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120318,0,0,74,41,10.07
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120319,0,0,74,45,8.05
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120320,0,0,67,44,6.04
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120321,0,0,78,56,10.74
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120322,0,0,83,56,10.07
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120323,0,0,76,58,8.28
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120324,0,0,59,47,8.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120325,0.01,0,48,42,6.71
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120326,0,0,50,32,17
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120327,0,0,49,27,14.54
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120328,0.06,0,50,39,7.83
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120329,0.01,0,46,40,11.41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120330,0,0,51,36,11.18
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120331,0.03,0,43,36,6.71
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120401,0.19,0,51,34,7.38
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120402,0.05,0,53,39,12.75
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120403,0,0,59,36,12.53
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120404,0,0,64,43,11.86
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120405,0,0,52,40,12.53
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120406,0,0,53,37,10.74
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120407,0,0,52,38,8.05
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120408,0,0,50,41,9.62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120409,0,0,58,43,16.55
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120410,0,0,63,43,10.51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120411,0,0,54,44,9.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120412,0.32,0,56,43,8.95
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120413,0,0,65,41,8.05
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120414,0,0,71,49,10.07
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120415,0,0,77,54,9.84
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120416,0,0,87,59,9.62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120417,0,0,84,57,11.63
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120418,0,0,62,49,11.18
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120419,0,0,66,47,10.74
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120420,0,0,77,49,12.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120421,0.01,0,78,54,11.86
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120422,1.04,0,62,44,14.32
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120423,1.48,0,63,44,14.99
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120424,0,0,58,46,16.55
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120425,0,0,62,43,11.86
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120426,0,0,63,43,10.74
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120427,0,0,57,40,19.24
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120428,0,0,60,37,13.42
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120429,0,0,59,39,12.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120430,0,0,54,41,10.74
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120501,0.6,0,50,45,12.53
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120502,0,0,52,45,9.17
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120503,0.04,0,50,46,6.93
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120504,0.01,0,56,49,6.71
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120505,0.09,0,58,46,3.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120506,0,0,54,46,7.38
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120507,0,0,59,48,9.17
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120508,0.16,0,58,50,11.41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120509,0.26,0,63,56,8.05
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120510,0.85,0,67,50,11.86
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120511,0,0,64,47,10.51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120512,0,0,80,50,10.51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120513,0,0,80,59,7.16
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120514,0.09,0,64,53,5.82
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120515,0.5,0,73,56,10.07
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120516,0.06,0,73,60,7.38
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120517,0,0,70,54,9.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120518,0,0,65,49,7.61
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120519,0,0,66,51,5.14
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120520,0,0,71,55,6.71
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120521,0.02,0,59,54,6.71
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120522,0.58,0,63,56,8.28
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120523,0,0,71,59,5.82
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120524,0,0,71,60,9.84
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120525,0,0,74,58,8.28
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120526,0,0,86,66,9.62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120527,0,0,72,64,9.62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120528,0,0,69,60,9.17
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120529,0.17,0,67,59,7.83
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120530,0,0,75,61,6.26
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120531,0,0,83,63,7.61
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120601,0,0,65,58,11.41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120602,1.13,0,62,55,16.33
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120603,0.01,0,62,53,14.32
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120604,0.13,0,53,50,17.45
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120605,0.13,0,56,50,8.05
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120606,0,0,61,52,6.93
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120607,0.04,0,65,54,6.26
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120608,0.31,0,79,54,8.05
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120609,0,0,79,59,10.07
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120610,0,0,76,59,8.95
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120611,0,0,74,57,10.07
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120612,0.01,0,74,60,12.97
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120613,0.7,0,65,62,7.16
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120614,0,0,68,61,8.72
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120615,0,0,69,57,8.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120616,0,0,65,54,10.51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120617,0,0,63,52,8.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120618,0,0,64,55,8.28
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120619,0,0,76,56,10.51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120620,0,0,97,66,10.29
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120621,0,0,96,80,9.17
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120622,0.02,0,95,74,10.07
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120623,1.19,0,81,65,7.83
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120624,0,0,84,64,10.96
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120625,0.93,0,73,61,9.62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120626,0.06,0,73,61,12.53
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120627,0,0,77,61,14.09
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120628,0,0,83,65,9.84
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120629,0.05,0,89,66,7.61
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120630,0,0,90,70,12.53
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120701,0,0,91,70,9.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120702,0,0,84,69,8.05
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120703,0,0,86,68,8.95
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120704,0.14,0,84,68,8.28
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120705,0,0,83,70,8.72
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120706,0,0,80,68,8.05
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120707,0,0,86,73,9.62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120708,0,0,89,71,8.95
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120709,0,0,84,67,8.05
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120710,0,0,83,65,7.38
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,20120711,0,0,80,66,8.28
