 NatureCode |      Freq.     Percent        Cum.
     STREET |          1        0.01       80.84
     SUSPER |         12        0.08       80.92
     TEST   |          2        0.01       80.93
     THREAT |         25        0.17       81.11
     TRANSP |          2        0.01       81.12
     TRAUMA |        165        1.15       82.27
     TRAUMX |          3        0.02       82.30
         TS |          1        0.01       82.30
     TSTOP  |          4        0.03       82.33
     UNCONS |      1,296        9.05       91.38
        UNK |         92        0.64       92.02
     UNK    |        770        5.38       97.40
     UNKEMS |        295        2.06       99.46
       VAND |          7        0.05       99.51
     VANIP  |          9        0.06       99.57
     VANRPT |          3        0.02       99.59
     VICDOG |         54        0.38       99.97
     VIORDR |          2        0.01       99.99
       reqp |          1        0.01       99.99
     unkems |          1        0.01      100.00
