Id,Zipcode,Average Income,Date,Time,NatureCode
152048588,02127,51319.00,20150612,03:35,UNKEMS
152048654,02128,31671.00,20150612,10:45,UNKEMS
152048705,02119,29044.00,20150612,14:40,IVMV
152048781,02122,35637.00,20150612,16:44,ALARM
152048849,02131,44964.00,20150612,17:45,IVPER
152048823,02136,40753.00,20150612,19:05,CARDIA
152048906,02114,131324.00,20150613,00:45,CARDIA
152048927,02118,76958.00,20150613,02:30,IVPER
152048933,02124,34556.00,20150613,03:26,POISON
152048938,02130,53882.00,20150613,03:32,EDP
152048935,02116,248469.00,20150613,03:41,AB
152049012,02135,41090.00,20150613,10:10,ARREST
152049008,02136,40753.00,20150613,11:36,REQP
152049019,02124,34556.00,20150613,12:11,PERGUN
152049024,02119,29044.00,20150613,13:11,IVPER
152049047,02128,31671.00,20150613,14:40,INVEST
152049078,02125,33654.00,20150613,16:44,INVEST
152049097,02124,34556.00,20150613,17:56,UNCONS
152049112,02121,26412.00,20150613,18:17,IVPREM
152049162,02134,34374.00,20150613,22:17,TRAUMA
152049189,02122,35637.00,20150614,01:00,UNCONS
152049204,02121,26412.00,20150614,02:25,POISON
152049225,02126,33468.00,20150614,05:15,UNCONS
152049228,02118,76958.00,20150614,06:14,INVEST
152049237,02132,63549.00,20150614,06:56,ALARM
152049405,02126,33468.00,20150614,07:00,UNCONS
152049281,02116,248469.00,20150614,10:34,REQP
152049346,02121,26412.00,20150614,14:25,IVPER
152049393,02129,88373.00,20150614,15:30,REQP
152049359,02120,28454.00,20150614,15:46,IVPER
152049366,02124,34556.00,20150614,16:42,UNCONS
152049452,02118,76958.00,20150614,18:30,INJOFF
152049443,02115,81842.00,20150614,19:00,UNCONS
152049412,02115,81842.00,20150614,19:42,ALARM
152049429,02121,26412.00,20150614,20:08,UNKEMS
152049432,02130,53882.00,20150614,20:11,IVPER
152049480,02118,76958.00,20150615,01:11,AB
152049488,02131,44964.00,20150615,01:45,IVPER
152049495,02121,26412.00,20150615,06:53,POISON
152049500,02122,35637.00,20150615,08:00,EDP
152049537,02126,33468.00,20150615,09:33,DISTRB
152049583,02132,63549.00,20150615,10:00,ALARM
152049545,02136,40753.00,20150615,10:11,INVEST
152049580,02119,29044.00,20150615,12:36,UNKEMS
152049590,02119,29044.00,20150615,12:42,VAND
152049615,02126,33468.00,20150615,13:46,EDP
152049629,02129,88373.00,20150615,14:55,IVPER
152049667,02120,28454.00,20150615,16:27,INVEST
152049723,02134,34374.00,20150615,19:10,MVA
152049774,02110,340744.00,20150615,20:39,UNCONS
152049769,02215,47086.00,20150615,22:13,UNCONS
